Community,mean_monthly_jsd,median_monthly_jsd,max_monthly_jsd,n_transitions,jsd_pre_covid,jsd_covid_post,jsd_pre_post,shift_type,acs_year,total_population,occupied_housing_units,total_housing_units,poverty_rate,unemployment_rate,bachelors_plus_rate,renter_rate,owner_rate,vacancy_rate,white_non_hispanic_rate,black_non_hispanic_rate,asian_non_hispanic_rate,hispanic_rate,median_household_income_approx,volatility_group
1,0.12060970791598392,0.11494503385570017,0.18885969795710414,71.0,0.06977205087174697,0.07857248253735462,0.08438114426735278,Low change,2023,97727,43755,48131,0.1826021016141263,0.0632611518618608,0.5141771244173539,0.6618672151754085,0.3381327848245914,0.0909185348320209,0.4243146725060628,0.2191103789126853,0.0990207414532319,0.1981745065335066,66539.26879213804,Mid-low
10,0.21459441835591647,0.21087692333970653,0.3174910730474672,71.0,0.1288106079896535,0.0717201472668824,0.08596394320959788,Temporary disruption,2023,98439,39727,41761,0.0660024906600249,0.0490164154232191,0.4488017734874845,0.2880912225942054,0.7119087774057945,0.0487057302267666,0.6963804995987363,0.0199311248590497,0.0834120622923841,0.1713853249220329,101225.31170236866,High
11,0.21842666130818228,0.2207545580628226,0.3349133848724156,71.0,0.0875994271214526,0.07182636917829019,0.05882541160818448,Low change,2023,85558,33679,35909,0.0716827357814757,0.0564349479252769,0.4506719858735816,0.3060364025060126,0.6939635974939874,0.0621014230415773,0.615231772598705,0.0163397928890343,0.0928843591481801,0.241859323499848,102047.10617892456,High
12,0.2854640676782802,0.28411338816392506,0.39770181624801815,71.0,0.13171610587471083,0.07933366844950962,0.0912345011308713,Temporary disruption,2023,77633,29522,31335,0.074072133209312,0.0460314993264946,0.515309561823665,0.2389065781451121,0.7610934218548879,0.0578586245412478,0.6107067870622029,0.019862687259284,0.1499233573351538,0.187665039351822,106022.60907120114,High
13,0.23377157756317196,0.22646880184884416,0.4071088273568022,71.0,0.09225738742458846,0.07244342832731986,0.07736948859553297,Low change,2023,65370,23353,25078,0.1095422880920099,0.0482163480046195,0.4866777685262281,0.3735280263777673,0.6264719736222327,0.0687853895844963,0.4978430472693896,0.0336698791494569,0.2307480495640202,0.2016674315435214,95814.78666552478,High
14,0.1519817329019892,0.15131587026151616,0.2116258286913579,71.0,0.05183794835671855,0.05257081660869538,0.061090402908664534,Low change,2023,93026,36215,39069,0.1249313865407838,0.0615381810225366,0.4818645746058344,0.5214966174237194,0.4785033825762805,0.0730502444393253,0.4102078988669834,0.0400103196955689,0.1502698170403973,0.3588674134113043,88230.17498274196,Mid-low
15,0.13361817995120326,0.13209025410924916,0.23214475126850379,71.0,0.04640005273486667,0.08822465242173791,0.08432850885397915,Low change,2023,126189,47426,50771,0.1022843993598267,0.0471564317118139,0.3580309252900648,0.3660017711803652,0.6339982288196347,0.0658840676764294,0.4530981305819049,0.018361346868586,0.0631196063048284,0.4328824223981488,88685.1085691393,Mid-low
16,0.1451215055613357,0.14682417297229228,0.21904394522457052,71.0,0.07016477864629692,0.07902865536347027,0.08173285702376291,Low change,2023,119149,47927,51943,0.1176749021629799,0.0585186119166701,0.4711239836689116,0.5075218561562376,0.4924781438437624,0.0773155189342163,0.4163274555388631,0.0305667693392307,0.085447632795911,0.4291265558250594,91055.96269326269,Mid-low
17,0.19341384154657426,0.18975359356554525,0.2953855262537289,71.0,0.09209703230786336,0.06883276309792011,0.1255151275191461,Low change,2023,107200,40107,42492,0.0834446430251152,0.0493469807668834,0.2736848958333333,0.2761363353030643,0.7238636646969357,0.0561282123693871,0.5266977611940299,0.0222667910447761,0.0592257462686567,0.3719123134328358,85115.95008352656,Mid-high
18,0.2786379899815231,0.28436635165243557,0.43824052551298626,71.0,0.09007450597409465,0.13300188147739292,0.13638543107437442,Low change,2023,42366,15722,17117,0.1084219794864472,0.0586553456939871,0.2763092763092763,0.3555527286604757,0.6444472713395243,0.0814979260384413,0.3900769484964358,0.0790492375961856,0.0388283057168484,0.4722654959165368,84800.47252257982,High
19,0.11216466036709764,0.11227252958061805,0.18428745422172735,71.0,0.08454306211973146,0.08784422819408584,0.10484941970521196,Low change,2023,146999,49331,52897,0.1405473488219268,0.0521751813203569,0.2058450959102425,0.4354665423364618,0.5645334576635381,0.0674140310414579,0.1959605167382091,0.0907693249613943,0.030632861448037,0.6646507799372785,73824.33411039712,Low
2,0.12808330119102077,0.12596413539718102,0.19918314528771097,71.0,0.06341811524229095,0.075451187292709,0.09698690684158703,Low change,2023,144012,52569,56651,0.1567387734100216,0.0708942955778398,0.4566901909739876,0.5195267172668303,0.4804732827331697,0.0720552152653969,0.391724300752715,0.1379537816293086,0.1993931061300447,0.2129891953448323,73636.03142536475,Mid-low
