Community,state_id,lag_months,correlation,n_start_points
1,18,8,0.45283018867924524,12
1,18,9,0.1509433962264151,12
1,18,10,0.3,11
1,18,11,0.0625,10
1,18,12,0.13333333333333333,9
1,18,13,0.3076923076923077,8
1,18,14,0.1794871794871795,8
1,18,15,0.4090909090909091,7
1,18,16,0.2727272727272727,7
1,18,17,0.1515151515151515,7
1,18,18,0.3181818181818182,7
1,18,19,0.18181818181818182,7
1,18,20,0.3888888888888889,6
1,18,21,0.3703703703703704,6
1,18,22,0.2777777777777778,6
1,18,23,0.5555555555555556,6
1,18,24,0.2222222222222222,6
1,18,25,0.2708333333333333,5
1,18,26,0.3125,5
1,18,27,0.16666666666666666,5
1,18,28,0.4166666666666667,4
1,18,29,0.16666666666666666,4
1,18,30,0.3333333333333333,4
1,18,31,0.5833333333333334,4
1,18,32,0.2,3
1,18,33,0.2,3
1,18,34,0.0,3
1,18,35,0.0,3
1,18,36,0.6666666666666666,2
10,1,1,0.20833333333333334,13
10,1,2,0.13636363636363635,12
10,1,3,0.22727272727272727,12
10,1,4,0.09090909090909091,12
10,1,5,0.3181818181818182,12
10,1,6,0.09090909090909091,12
10,1,7,0.22727272727272727,12
10,1,8,0.045454545454545456,12
10,1,9,0.022727272727272728,12
10,1,10,0.09090909090909091,12
10,1,11,0.0,12
10,1,12,0.45454545454545453,12
10,1,13,0.18181818181818182,12
10,1,14,0.045454545454545456,12
10,1,15,0.09090909090909091,12
10,1,16,0.09090909090909091,12
10,1,17,0.3181818181818182,12
10,1,18,0.1,11
10,1,19,0.3333333333333333,10
10,1,20,0.1111111111111111,10
10,1,21,0.0625,9
10,1,22,0.25,9
10,1,23,0.0,9
10,1,24,0.5,8
10,1,25,0.2857142857142857,8
10,1,26,0.07142857142857142,8
10,1,27,0.07142857142857142,8
10,1,28,0.0,8
10,1,29,0.35714285714285715,8
10,1,30,0.07142857142857142,8
10,1,31,0.16666666666666666,7
10,1,32,0.16666666666666666,7
10,1,33,0.08333333333333333,7
10,1,34,0.3333333333333333,7
10,1,35,0.16666666666666666,7
10,1,36,0.5,6
10,2,1,0.0,8
10,2,2,0.0,8
10,2,3,0.2857142857142857,8
10,2,4,0.0,8
10,2,5,0.047619047619047616,8
10,2,6,0.023809523809523808,8
10,2,7,0.0,7
10,2,8,0.11764705882352941,7
10,2,9,0.029411764705882353,7
10,2,10,0.0,6
10,2,11,0.0,6
10,2,12,0.0,6
10,2,13,0.0,6
10,2,14,0.0,6
10,2,15,0.07692307692307693,6
10,2,16,0.0,6
10,2,17,0.15384615384615385,6
10,2,18,0.0,6
10,2,19,0.0,6
10,2,20,0.15384615384615385,6
10,2,21,0.15384615384615385,6
10,2,22,0.0,6
10,2,23,0.07692307692307693,6
10,2,24,0.07692307692307693,6
10,2,25,0.0,6
10,2,26,0.07692307692307693,6
10,2,27,0.0,5
10,2,28,0.0,5
10,2,29,0.09090909090909091,5
10,2,30,0.09090909090909091,5
10,2,31,0.0,5
10,2,32,0.18181818181818182,5
10,2,33,0.05,4
10,2,34,0.0,4
10,2,35,0.2,4
10,2,36,0.2,4
10,6,1,0.3902439024390244,12
10,6,2,0.1951219512195122,12
10,6,3,0.1951219512195122,12
10,6,4,0.0975609756097561,12
10,6,5,0.0,12
10,6,6,0.10975609756097561,12
10,6,7,0.1951219512195122,12
10,6,8,0.1951219512195122,12
10,6,9,0.12162162162162163,11
10,6,10,0.10810810810810811,11
10,6,11,0.12121212121212122,10
10,6,12,0.13793103448275862,9
10,6,13,0.0,9
10,6,14,0.0,9
10,6,15,0.10344827586206896,9
10,6,16,0.13793103448275862,9
10,6,17,0.0,9
10,6,18,0.06896551724137931,9
10,6,19,0.06896551724137931,9
10,6,20,0.06896551724137931,9
10,6,21,0.034482758620689655,9
10,6,22,0.034482758620689655,9
10,6,23,0.0,9
10,6,24,0.034482758620689655,9
10,6,25,0.034482758620689655,9
10,6,26,0.06896551724137931,9
10,6,27,0.07407407407407407,8
10,6,28,0.1111111111111111,8
10,6,29,0.037037037037037035,8
10,6,30,0.07407407407407407,8
10,6,31,0.14814814814814814,8
10,6,32,0.0,8
10,6,33,0.07692307692307693,7
10,6,34,0.07692307692307693,7
10,6,35,0.11538461538461539,7
10,6,36,0.038461538461538464,7
10,16,1,0.0,3
10,16,2,0.0,3
10,16,3,0.3333333333333333,3
10,16,4,0.0,3
10,16,5,0.0,3
10,16,6,0.0,3
10,16,7,0.0,3
10,16,8,0.0,3
10,16,9,0.0,3
10,16,10,0.0,3
10,16,11,0.0,3
10,16,12,0.0,3
10,16,13,0.0,3
10,16,14,0.0,3
10,16,15,0.0,3
10,16,16,0.0,3
10,16,17,0.0,3
10,16,18,0.0,3
10,16,19,0.0,3
10,16,20,0.0,3
10,16,21,0.3333333333333333,3
10,16,22,0.0,3
10,16,23,0.0,3
10,16,24,0.3333333333333333,3
10,16,25,0.0,3
10,16,26,0.0,2
10,16,27,0.0,2
10,16,28,0.0,2
10,16,29,0.0,1
10,16,30,0.0,1
10,16,31,0.0,1
10,16,32,0.0,1
10,16,33,0.0,1
