node_id,n_samples,period_majority,period_majority_share,period_entropy,mean_year,min_year,max_year,community_majority,community_majority_share,n_communities,dominant_crime_majority,dominant_crime_majority_share,mean_dominant_crime_share,mean_arrest_rate,mean_domestic_rate,density,mean_ASSAULT,mean_BATTERY,mean_BURGLARY,mean_CRIMINAL DAMAGE,mean_CRIMINAL TRESPASS,mean_DECEPTIVE PRACTICE,mean_MOTOR VEHICLE THEFT,mean_NARCOTICS,mean_OTHER CRIMES,mean_OTHER OFFENSE,mean_PUBLIC ORDER,mean_ROBBERY,mean_SEXUAL CRIMES,mean_THEFT,mean_WEAPONS VIOLATION,mean_poverty_rate,mean_unemployment_rate,mean_bachelors_plus_rate,mean_renter_rate,mean_vacancy_rate,mean_median_household_income_approx,mean_white_non_hispanic_rate,mean_black_non_hispanic_rate,mean_asian_non_hispanic_rate,mean_hispanic_rate,x,y,community_majority_num,state_id,state_label
cube0_cluster0,136,Pre-COVID,0.6764705882352942,0.7934140589958523,2019.2426470588234,2018,2022,26,0.2867647058823529,13,BATTERY,0.5294117647058824,0.23866156191662297,0.35510582520931927,0.23233878685480408,765.4285331170712,0.08328607022298885,0.2104468990012339,0.024999770356277918,0.09093607713654675,0.021375353933182285,0.03561043695438675,0.03217863388069749,0.18543525201198055,0.014083253210594554,0.06470133640930481,0.02139964294651695,0.04132314314865603,0.01873636250789565,0.10871029754727608,0.046777470732461406,0.3162461738364108,0.15837541293289087,0.15217414850063404,0.6812353877306361,0.18352339031318318,35780.091835983825,0.06313085344948562,0.6529589329053374,0.007945301462676852,0.2632160267667922,-0.6353295004134739,0.7723491283910182,26,11,State 11
cube1_cluster0,67,Pre-COVID,0.5074626865671642,1.0232710528979916,2019.910447761194,2018,2023,68,0.208955223880597,14,BATTERY,0.9402985074626866,0.2315462855185501,0.272020208036286,0.2670416480868321,451.48028079324746,0.09906387529160453,0.228660510273587,0.02864843467250605,0.10889206977366,0.019432160734976448,0.03729416721047846,0.037343923199087525,0.09582035004751131,0.018185777519692616,0.07743458847011178,0.018818366648446664,0.04089611552849478,0.015945756894314822,0.1143432655166136,0.059220638218914386,0.3144173554444994,0.18153310282459287,0.16087435842916661,0.6670025702166755,0.19495047742113067,36506.89498249176,0.05112964707667676,0.7442034250657442,0.0074165658508400225,0.18348451502457971,-0.5773866218872317,0.6409360124471448,68,11,State 11
cube2_cluster0,37,COVID,0.5135135135135135,1.0024374473202595,2020.3243243243244,2018,2023,26,0.16216216216216217,14,BATTERY,0.8918918918918919,0.2352992842281695,0.24123370532693925,0.2783392609033486,250.50999252443017,0.09639123323296421,0.2318168382379288,0.026234055123984534,0.12201597666062862,0.01664988457659172,0.03981028391880554,0.04337560733946997,0.08665381545031718,0.01983499208441062,0.07234235094130127,0.015848665215850957,0.045012787222429525,0.012966004916772165,0.11122302578806062,0.05982447929048427,0.2980705676776764,0.166020314953081,0.17914009739221587,0.6554087977681454,0.17447011678713542,39413.072585992195,0.060978399585976104,0.6962908983371099,0.009279216023309767,0.2178879005408392,-0.7101802579944009,0.545583040465461,26,0,Unstable
cube3_cluster0,39,COVID,0.46153846153846156,1.0579054247036734,2020.3846153846155,2018,2023,29,0.20512820512820512,15,BATTERY,0.9230769230769231,0.23033466189384127,0.24079129077361144,0.2673755604717156,254.43620529384734,0.09611969282758455,0.22868738599471627,0.027882961230284737,0.12364980248024754,0.015314531564335545,0.04012006706405815,0.0504117798282547,0.07793429364606855,0.015683771629091174,0.07386083195649072,0.017217979721953464,0.04878821110823912,0.012611626108371493,0.1078375538549145,0.0638795109853895,0.292179839826104,0.16093895591721138,0.1720348196094357,0.630983143191861,0.16903922680191247,40777.62758049137,0.06524742063922523,0.634753881666479,0.009161089312671799,0.2763632464659309,-0.7991815467961106,0.3878654775828993,29,9,State 09
cube4_cluster0,42,COVID,0.5714285714285714,0.9773202089564674,2020.595238095238,2018,2023,26,0.19047619047619047,14,BATTERY,1.0,0.23389839880983582,0.22417669136543772,0.27470636491929346,292.6517634465495,0.100829259712252,0.23389839880983582,0.02703381178255731,0.12384290822783103,0.01402962248152986,0.03987297848537691,0.05250534994718233,0.06954739645560873,0.01740984261658541,0.06469708016034918,0.014139039701761617,0.04348513539792827,0.012786473924873708,0.11160282645309043,0.07431987584323739,0.3087479606154866,0.17313205637514265,0.15649913994086104,0.6514508014632695,0.1826014441180134,37919.08944486185,0.05425851889945441,0.6875518973122675,0.009189118918186084,0.23394044717891255,-0.8242186181313726,0.19001467984835377,26,9,State 09
cube5_cluster0,26,COVID,0.6153846153846154,0.8587409130062867,2021.076923076923,2018,2023,26,0.23076923076923078,11,BATTERY,0.9615384615384616,0.23548521594065014,0.1965281568321928,0.28086684979614823,178.6176861752185,0.11440973578359423,0.23300382636248637,0.02350742732531911,0.11991646158481235,0.010227169388129318,0.0381228900837503,0.05069051679037426,0.05733421956023207,0.01916220437109536,0.06281162417822612,0.013719833541457437,0.04677399322752075,0.014050177098876961,0.11344771006531078,0.08282221063881456,0.30504502568672875,0.17259582415507976,0.1493244785410137,0.6436815204041877,0.18067498158194104,38220.659712588764,0.05037930989237722,0.6890087678410398,0.012022444517329946,0.23496376243056566,-0.8026264569097049,-0.020375335721477875,26,3,State 03
cube6_cluster0,35,COVID,0.6857142857142857,0.7715021333323691,2020.9142857142858,2018,2023,67,0.2,16,BATTERY,0.9714285714285714,0.23280416485095573,0.18019054908026755,0.2810657437520195,236.01403369613263,0.11490103601066624,0.23269593974273062,0.030050922669501025,0.12968047435362046,0.012254333750531246,0.03742085220805207,0.056104226930637005,0.047513366700289564,0.02063825808825198,0.06242604396942209,0.013969456012851274,0.041399389147874145,0.013313485791156102,0.11131483869708438,0.0763173759273318,0.28092222293812646,0.16042249914892062,0.15142213168133808,0.5977032859020376,0.16889738760981773,41082.74978968404,0.05925561847421724,0.6142188451438516,0.014422184005290299,0.29923993132489923,-0.7424091350376225,-0.22762418173424895,67,3,State 03
cube7_cluster0,37,COVID,0.6486486486486487,0.8651478972697317,2020.8918918918919,2018,2023,67,0.16216216216216217,14,BATTERY,0.972972972972973,0.23811017073217425,0.18422626694362318,0.2812334771477707,246.2540948266469,0.11387517117954923,0.23800779562979912,0.02879109649416012,0.12893771054545827,0.012370949261287472,0.03865693104816756,0.05651142905912051,0.03996696013221166,0.01896156756562059,0.0728942913754031,0.013116213254410451,0.04259243115751452,0.012757757479953502,0.10804423880590233,0.0745154570114416,0.2768659756795496,0.15262740854582482,0.15774388869497546,0.6055056353958048,0.16955674354048053,41199.81188601591,0.064663626063561,0.5854752598506328,0.011224685982945962,0.3252752999167977,-0.6463853837243646,-0.41914450611850007,67,14,State 14
cube8_cluster0,27,COVID,0.5555555555555556,0.8144442357333948,2021.3333333333333,2019,2023,67,0.18518518518518517,15,BATTERY,0.9259259259259259,0.23565743221377902,0.15483008082130378,0.28043995202130606,185.62686599507555,0.1219043588872382,0.23139906756894094,0.031593748888017435,0.13313976666231578,0.010493437969782547,0.03802912818218686,0.058668273156163,0.030321387092883144,0.01734487498272262,0.0775574277863319,0.011424353489626914,0.034914572498489053,0.013603165562657839,0.10998588516767907,0.07962055210496473,0.2766984381627492,0.15449840640505721,0.17386431593739024,0.5832272112774314,0.17400689532981845,42942.77167157835,0.062115312764530875,0.6205758571341173,0.014790506286237123,0.2842078383098197,-0.5136030647823305,-0.5775135422003299,67,14,State 14
cube9_cluster0,32,COVID,0.5625,0.7978911125143845,2021.46875,2019,2023,69,0.15625,16,BATTERY,0.90625,0.23041871401455577,0.16139602209187984,0.27887186583835666,211.85931879521993,0.1263073308886086,0.22404362774816514,0.02390281600902681,0.12664449388689814,0.01132522241359665,0.038865168150647104,0.07174765928467393,0.032695586208168044,0.02144877171039552,0.06985673378983004,0.009838552854440054,0.039689018999172335,0.012756547006344522,0.11185205039839098,0.07902642065164214,0.29050211314200586,0.15913664605661595,0.17956858502573803,0.625393471692052,0.16635138021853352,41308.76206937029,0.05439734343362661,0.6615260419136633,0.015333549435269501,0.25135687357504727,-0.34263488506410966,-0.6754021760102745,69,14,State 14
cube10_cluster0,30,COVID,0.5333333333333333,0.8110053415676062,2021.3,2018,2023,69,0.2,14,BATTERY,0.9333333333333333,0.2309082942567327,0.156293682333341,0.29255241541768573,199.55092285320939,0.12326423735690771,0.22730469065312908,0.027810859617007584,0.1238636660741231,0.01124276417522309,0.039162123140390095,0.07401109976335743,0.026211767871295595,0.019594057620129227,0.06948257775993986,0.011583892274930509,0.04533301148458386,0.010725972763314436,0.11423526394063352,0.0761740155050349,0.29282089650930787,0.16210037956676032,0.19297919898334553,0.6303785208606537,0.1701692218794733,40701.64225549704,0.046135445516778596,0.7015853214835105,0.024419274801645734,0.20947271057061334,-0.1433879543189082,-0.6580230555104288,69,14,State 14
cube11_cluster0,33,Post-COVID,0.6060606060606061,0.7773098260563037,2021.5757575757575,2018,2023,68,0.18181818181818182,15,BATTERY,0.8484848484848485,0.21905842557907992,0.14428034889389993,0.2590888448429005,218.74235259364326,0.11636567535273558,0.2125299610282991,0.027804203065440715,0.1380040406980645,0.010948192489339405,0.03718473098842556,0.08783933678825326,0.027257561803221236,0.0178822031495125,0.06623962767440011,0.014872908661058526,0.048278200720737005,0.009334435353384437,0.11334201738483982,0.07211690484228825,0.28876004836345015,0.16348596677400087,0.1837833399434124,0.6164516734790713,0.1726639055655933,41422.02833085703,0.05439667735640382,0.7091821606268546,0.01181111065499249,0.20555185116481994,0.014046244496453664,-0.5807767297483952,68,14,State 14
cube12_cluster0,20,Post-COVID,0.75,0.5623351446188083,2022.1,2020,2023,54,0.25,10,BATTERY,0.85,0.23026248495069446,0.12110341072110956,0.2834302663579117,124.82301936226861,0.13480279806917253,0.224807063168162,0.0222101236419354,0.1414539027180375,0.010961157938110613,0.03781885380838255,0.09125087166772615,0.021281877828201592,0.024754209842341432,0.062090525020182974,0.006109285095426134,0.042429235280500126,0.01222913832356973,0.10263868199836428,0.065162275599887,0.2885243610835302,0.15385179066345625,0.1696660164454875,0.5740504380006293,0.1754509885878342,42828.41272139609,0.06613035451952384,0.6621884888450108,0.006953867475955855,0.24557284747813166,0.059139587323048484,-0.5118820995819277,54,0,Unstable
cube13_cluster0,22,Post-COVID,0.7272727272727273,0.5859526183035508,2022.090909090909,2021,2023,54,0.3181818181818182,9,BATTERY,0.8181818181818182,0.22835961153168788,0.12090288407551916,0.29184484210874584,126.51369935782826,0.12320684730931344,0.22272651993636733,0.020783245876717912,0.14136588033350964,0.00896943636425009,0.040464585699418514,0.11746971602884222,0.016762861506792962,0.020466681139217704,0.06330753314575639,0.008500932458270324,0.04218173473655726,0.006259462859703608,0.0956924818632813,0.0718420807420013,0.3067939906007213,0.164021849537011,0.20766387723337687,0.6351553681765977,0.16072461996158946,42443.99798788771,0.06918947307036362,0.7489550331366456,0.014940447364729286,0.1375905215311126,0.014367199082738409,-0.7912080743434816,54,8,State 08
cube14_cluster0,16,Post-COVID,0.9375,0.2337916587064593,2022.5,2021,2023,37,0.25,6,BATTERY,0.75,0.21948489155457357,0.11288559092551498,0.27292663309206755,78.31715197986007,0.11494139863392158,0.21486434040549895,0.023702994295492896,0.12543128345066956,0.0066301516468769625,0.04160880165249191,0.16324199965035058,0.008996562779728186,0.01916510474827473,0.057853207325327116,0.00888304521837806,0.041168491225591644,0.007864862730097205,0.08085193350361133,0.0847958227336893,0.3062293905901221,0.15694682276414942,0.24444656087985198,0.6187612421896549,0.14741687194417463,46126.211080567526,0.08529577217356747,0.7565565763217145,0.019211205958956236,0.10225004966920899,-0.0001520635329319826,-0.9727431750763997,37,8,State 08
cube15_cluster0,94,Pre-COVID,0.776595744680851,0.6228047002277928,2018.9893617021276,2018,2022,23,0.2765957446808511,22,BATTERY,0.7021276595744681,0.23105283724241746,0.30898457504608323,0.23697559146141597,599.7812855077261,0.08495060120577164,0.21570145552180575,0.031117724765973322,0.09862721829452765,0.023841971653374705,0.041057768441448435,0.030819106909593632,0.13994693644860598,0.015901915297901706,0.06935262365073948,0.022223706804672092,0.03596557525911,0.017448165955371533,0.13403413932361632,0.03901109046748777,0.2956473830332341,0.15233489324649543,0.17590242506850157,0.6431359519039611,0.17619304881040246,38842.75308000452,0.08135179428409546,0.6130743207689708,0.009168259957401979,0.281936350049285,-0.44780790274706445,0.6627531415714395,23,0,Unstable
cube16_cluster0,84,Pre-COVID,0.75,0.6409581949391611,2019.047619047619,2018,2022,68,0.17857142857142858,22,BATTERY,0.9642857142857143,0.23343896172848963,0.248900963473178,0.27345754946148104,663.281732093709,0.09835675363489575,0.23249148316996665,0.0366600427656122,0.11223864282521212,0.02136313149317279,0.043235946172361824,0.034098525381330055,0.0742136706168776,0.01953167804577531,0.07770960129133926,0.01934248782035149,0.035048001421385026,0.013556130302626146,0.13559411486490655,0.046559790194187135,0.3000309347206873,0.17729398146526518,0.16920814559277028,0.6319223793163049,0.2012810600528564,36803.24636069433,0.05028979483100021,0.7314663718125032,0.00722137181016614,0.19592770115160757,-0.6050963387329273,0.6698498706198347,68,0,Unstable
cube17_cluster0,51,Pre-COVID,0.7254901960784313,0.7519238456212606,2019.3333333333333,2018,2023,67,0.13725490196078433,16,BATTERY,0.9607843137254902,0.22819424567526958,0.2358214112730821,0.2681428527521325,408.4282149365359,0.09490920195854036,0.22802388872408688,0.036753553232328075,0.11877733276024699,0.021474493855758447,0.04278958986694001,0.04108193328506728,0.06629809746964009,0.019613365644060837,0.07961460088609344,0.017544612763974596,0.03482254598609738,0.01198870518215525,0.1376161059374802,0.048691972447530193,0.27760385178845776,0.1617770221147511,0.17372718600666445,0.6071035861536475,0.17971950267647027,39255.79925500377,0.05437105883323301,0.6319191945251973,0.0088228025976106,0.2899237659852818,-0.6384562800904837,0.5366380345565271,67,9,State 09
